paper_id,figure_number,caption,page,section,referenced_materials,referenced_properties,referenced_tables,referenced_equations,mentioned_methods
Article 5.pdf,15,Fig. 15. Physics-constrained inversion for module inconsistency diagnosis. An ECM-array forward model maps cell-parameter distributions to module measure­,24,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,16,"Fig. 16. Closed-loop module-level state estimation and life prediction. Cell-level ECM parameters, degradation descriptors, and electrochemical priors are com­",26,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,17,"Fig. 17. Health-aware control within the ACPC chain. State, health, thermal, safety, and uncertainty descriptors are converted into charging, balancing, cooling, and",27,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 5.pdf,17,Fig. 17 summarizes this role as a health-aware decision layer that con­,27,Conclusion,NONE,NONE,NONE,NONE,NONE
Article 8 2.pdf,1,"Fig. 1. Key scientific goals and challenges for SE and SEI/CEI design. The factors that have to be considered for the SE design are demonstrated, including ionic-­",2,Metadata/Header,NONE,NONE,NONE,NONE,NONE
Article 8 2.pdf,2,"Fig. 2. Overview of the review. First, three AI strategies for the SSB research are summarized. Next, advances in discovery of high-­performance SEs with high ionic con-",3,Metadata/Header,BS2 | EsS,NONE,NONE,NONE,NONE
Article 8 2.pdf,3,"Fig. 3. Strategies for SE and interface design. (A) Traditional approach to SE, including experimental and theoretical processes. Solid polylines denote the feedback of",4,Metadata/Header,NONE,NONE,NONE,NONE,NONE
Article 8 2.pdf,4,Fig. 4. Mainstream methods for discovering fast-­ion conductors. (A) Data-­driven classification model using an LR algorithm for predicting ionic conductivity (88). El-,8,Methods,NONE,NONE,NONE,NONE,NONE
Article 8 2.pdf,5,"Fig. 5. Discovery of fast-­ion conductors using microstructures, x-­ray diffraction, and machine learning interatomic potentials. (A) Microstructure-­property rela-",9,Methods,NONE,NONE,NONE,NONE,NONE
Article 8 2.pdf,6,Fig. 6. Screening SEs with high mechanical strength and stability via ML methods. (A) Flowchart of the ML process to predict elastic properties (bulk modulus KVRH,11,Methods,EsS,NONE,NONE,NONE,NONE
Article 8 2.pdf,7,Fig. 7. SEI investigation by combining AIMD simulations and ML methods. (A) Workflow of LASP (144): LASP takes input setups (lasp.in) and structure coordinates,13,Methods,NONE,NONE,NONE,NONE,NONE
Article 8 2.pdf,8,Fig. 8. Predicting SEI properties by using ML methods. (A) Scheme of XPS prediction using ML models (135). The features of the structure can be generated using local,15,Methods,NONE,Technique,NONE,NONE,XPS
Article 8 2.pdf,9,"Fig. 9. Approaches for screening coating materials for cathodes. (A) Flowchart describing the computational screening of cathode coating materials, following the",17,Methods,NONE,NONE,NONE,NONE,NONE
Article 8 2.pdf,10,Fig. 10. AI-­assisted modeling for CEI investigation. (A) Flowchart for the prediction scheme of heterogeneous interface structures using the CALYPSO methodology,18,Methods,NONE,NONE,NONE,NONE,NONE
Article 8.pdf,1,"Fig. 1. Key scientific goals and challenges for SE and SEI/CEI design. The factors that have to be considered for the SE design are demonstrated, including ionic-­",2,Metadata/Header,NONE,NONE,NONE,NONE,NONE
Article 8.pdf,2,"Fig. 2. Overview of the review. First, three AI strategies for the SSB research are summarized. Next, advances in discovery of high-­performance SEs with high ionic con-",3,Metadata/Header,BS2 | EsS,NONE,NONE,NONE,NONE
Article 8.pdf,3,"Fig. 3. Strategies for SE and interface design. (A) Traditional approach to SE, including experimental and theoretical processes. Solid polylines denote the feedback of",4,Metadata/Header,NONE,NONE,NONE,NONE,NONE
Article 8.pdf,4,Fig. 4. Mainstream methods for discovering fast-­ion conductors. (A) Data-­driven classification model using an LR algorithm for predicting ionic conductivity (88). El-,8,Methods,NONE,NONE,NONE,NONE,NONE
Article 8.pdf,5,"Fig. 5. Discovery of fast-­ion conductors using microstructures, x-­ray diffraction, and machine learning interatomic potentials. (A) Microstructure-­property rela-",9,Methods,NONE,NONE,NONE,NONE,NONE
Article 8.pdf,6,Fig. 6. Screening SEs with high mechanical strength and stability via ML methods. (A) Flowchart of the ML process to predict elastic properties (bulk modulus KVRH,11,Methods,EsS,NONE,NONE,NONE,NONE
Article 8.pdf,7,Fig. 7. SEI investigation by combining AIMD simulations and ML methods. (A) Workflow of LASP (144): LASP takes input setups (lasp.in) and structure coordinates,13,Methods,NONE,NONE,NONE,NONE,NONE
Article 8.pdf,8,Fig. 8. Predicting SEI properties by using ML methods. (A) Scheme of XPS prediction using ML models (135). The features of the structure can be generated using local,15,Methods,NONE,Technique,NONE,NONE,XPS
Article 8.pdf,9,"Fig. 9. Approaches for screening coating materials for cathodes. (A) Flowchart describing the computational screening of cathode coating materials, following the",17,Methods,NONE,NONE,NONE,NONE,NONE
Article 8.pdf,10,Fig. 10. AI-­assisted modeling for CEI investigation. (A) Flowchart for the prediction scheme of heterogeneous interface structures using the CALYPSO methodology,18,Methods,NONE,NONE,NONE,NONE,NONE
Article 9.pdf,1,Fig. 1,3,Results,NONE,NONE,NONE,NONE,NONE
Article 9.pdf,2,Fig. 2,3,Results,NONE,NONE,NONE,NONE,NONE
Article 9.pdf,3,Fig. 3,4,Results,NONE,NONE,NONE,NONE,NONE
Article 9.pdf,4,Fig. 4,5,Supplementary,NONE,NONE,NONE,NONE,NONE
Article 9.pdf,5,"Fig. 5a and b, the medium-entropy compositions ME1-NZSP",6,Supplementary,NONE,NONE,NONE,NONE,NONE
Article 9.pdf,5,Fig. 5,6,Supplementary,NONE,NONE,NONE,NONE,NONE
Article 9.pdf,6,Fig. 6,7,Supplementary,NONE,NONE,NONE,NONE,NONE
Machine learning assisted materials design and discovery for rechargeable batteries.pdf,1,"Fig. 1. Applications of multi-scale computation methods at microscale, mesoscale, and macroscale, in rechargeable battery materials.",2,Introduction,NONE,NONE,NONE,NONE,NONE
Machine learning assisted materials design and discovery for rechargeable batteries.pdf,2,Fig. 2. Literature counts from 2011 to 2019. The information is obtained by searching on the “Web of Science” database using “high throughput” þ “materials” and,3,Introduction,NONE,NONE,NONE,NONE,NONE
Machine learning assisted materials design and discovery for rechargeable batteries.pdf,3,Fig. 3. The relationships among ML and current hot topics in computer science [61].,4,Introduction,NONE,NONE,NONE,NONE,NONE
Machine learning assisted materials design and discovery for rechargeable batteries.pdf,4,"Fig. 4. Workflow of the application of ML in rechargeable battery materials, which includes four major steps: data collection, feature engineering, model building, and",5,Introduction,NONE,NONE,NONE,NONE,NONE
Machine learning assisted materials design and discovery for rechargeable batteries.pdf,5,Fig. 5. Taxonomy of the literature for ML in rechargeable battery materials. Related methods and literatures for each performance prediction are marked.,7,Methods,NONE,NONE,NONE,NONE,NONE
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,1,Figure 1. Workflow of CSP with MTP and active learning. The,3,Methods,PCS,NONE,NONE,NONE,NONE
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,2,Figure 2. (a) Energy difference (ΔE) between most stable predicted,4,Methods,NONE,NONE,NONE,NONE,NONE
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,3,"Figure 3. (a) Classification of predicted crystal structures based on polyhedral connectivity: corner-sharing (left, blue), edge-sharing (middle,",5,Supplementary,NONE,Software,NONE,NONE,NONE
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,3,"Figures 3b−e shows the relative stabilities, polyhedral",5,Supplementary,NONE,NONE,NONE,NONE,NONE
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,4,Figure 4. Isosurface of Li-ion probability density distribution and self-part of van Hove correlation function for different polyhedral topologies in,6,Supplementary,NONE,NONE,NONE,NONE,NONE
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,3,"Figure 3d,e highlight the exceptional Li-ion transport",7,Methods,NONE,NONE,NONE,NONE,NONE
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,4,"Figure 4a,b show the isosurfaces (red) of the Li-ion probability",7,Methods,NONE,NONE,NONE,NONE,NONE
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,4,Figure 4e demonstrates that the edge-sharing topology,7,Methods,NONE,NONE,NONE,NONE,NONE
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,4,Figure 4a and the experimentally observed extremely low ionic,8,Supplementary,NONE,NONE,NONE,NONE,NONE
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,5,"Figure 5 presents the packing ratio (α), Li−S4 sublattice",8,Supplementary,NONE,NONE,NONE,NONE,NONE
Machine Learning-Assisted Crystal Structure Prediction of SolidState Electrolytes Reveals Superior Ionic Conductivity in Metastable Edge-Sharing Phases.pdf,5,Figure 5. Analysis of 10 most stable predicted structures for (a),8,Supplementary,NONE,NONE,NONE,NONE,NONE
Article 7 2.pdf,1,"Fig. 1 | Schematic of the maximum flow method. S is the source, and T is the",2,Methods,NONE,NONE,NONE,NONE,NONE
Article 7 2.pdf,2,Fig. 2 | Visual representation of the pipeline employed to proceed from the,3,Methods,NONE,NONE,NONE,NONE,NONE
Article 7 2.pdf,3,Fig. 3 | Lithium and sodium diffusion in glassy electrolytes. a Structural com-,5,Results,NONE,NONE,NONE,NONE,NONE
Article 7 2.pdf,4,Fig. 4 shows the extrapolated room temperature conductivity of the,5,Results,NONE,NONE,NONE,NONE,NONE
Article 7 2.pdf,4,Fig. 4 | Predicting ionic conductivity from maximum flow. Calculated room,6,Discussion,NONE,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,1,FIG. 1. Flowchart of the logical steps performed in our study,3,Methods,NONE,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,2,Fig. 2 shows the LM(⃗r) = 0.5 eV isosurfaces on top of,4,Methods,NONE,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,2,FIG. 2.,4,Methods,NONE,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,3,FIG. 3.,5,Methods,NONE,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,4,FIG. 4. AIMD conductivity values against 1/T for the top-Ξ,6,Results,NONE,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,5,FIG. 5.,13,Methods,NONE,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,7,Figures 7 and 8 demonstrate scatter plots with rela-,13,Methods,NONE,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,7,FIG. 7. Distributions of conductivity labels against FV descriptors for the simulated dataset. Shown are such distributions,14,Methods,VF,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,8,FIG. 8. Distributions of conductivity and activation energy labels against FV descriptors for the experimental dataset. Shown,14,Methods,VF,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,3,Fig. 3.,15,Methods,NONE,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,9,FIG. 9.,15,Methods,NONE,NONE,NONE,NONE,NONE
Predicting ionic conductivity in solids from the machine-learned potential energy landscape.pdf,10,FIG. 10. MSD slope values extracted with different fitting window parameters. The results of single fits for the entire simulated,16,Methods,NONE,MSD_Mentioned,NONE,NONE,NONE
A Graph Neural Network for the Era of Large Atomistic Models.pdf,1,Figure 1. Schematic plot of the DPA3 model architecture. (a) The line graph transform. (b) The line,4,Results,NONE,NONE,NONE,NONE,NONE
A Graph Neural Network for the Era of Large Atomistic Models.pdf,2,Figure 2. Comparative performance of DPA3 with other MLIPs across different benchmarks. (a) Test,7,Results,NONE,NONE,NONE,NONE,NONE
A Graph Neural Network for the Era of Large Atomistic Models.pdf,3,Figure 3. LWARMSEs in energy and force predictions evaluated on the DPA2 test sets. The DPA3,10,Results,NONE,NONE,NONE,NONE,NONE
A Graph Neural Network for the Era of Large Atomistic Models.pdf,4,Figure 4. Scaling law of the DPA3 models. All evaluations are conducted by measuring validation energy,10,Results,NONE,NONE,NONE,NONE,NONE
A Graph Neural Network for the Era of Large Atomistic Models.pdf,4,Fig. 4(a–c). The results clearly demonstrate that the validation energy MAE decreases with increasing,11,Results,NONE,NONE,NONE,NONE,NONE
A Graph Neural Network for the Era of Large Atomistic Models.pdf,5,Figure 5. Zero-shot generalizability evaluation of force field prediction tasks across three distinct,11,Results,NONE,NONE,NONE,NONE,NONE
A Graph Neural Network for the Era of Large Atomistic Models.pdf,5,Figure 5 and Table S-6 present a comparative analysis of the zero-shot generalizability of the DPA-3.1-,12,Results,NONE,NONE,NONE,NONE,NONE
A Graph Neural Network for the Era of Large Atomistic Models.pdf,6,"Figure 6. Graphic illustration of line graph transform. (a) The initial graph, denoted as G, is depicted in",16,Methods,NONE,NONE,NONE,NONE,NONE
